step,val_loss
250,3.0159
500,2.8293
750,2.7558
1000,2.7198
1250,2.6767
1500,2.6429
1750,2.6303
2000,2.6213
2250,2.5834
2500,2.5760
2750,2.5588
3000,2.5449
3250,2.5571
3500,2.5288
3750,2.5272
4000,2.5241
4250,2.5242
4500,2.5063
4750,2.5114
5000,2.5159
5250,2.5075
5500,2.4948
5750,2.4814
6000,2.4976
6250,2.4825
6500,2.4834
6750,2.4800
7000,2.4636
7250,2.4739
7500,2.4783
7750,2.4895
8000,2.4916
8250,2.4770
8500,2.4971
8750,2.5045
9000,2.4861
9250,2.4956
9500,2.5000
9750,2.4762
10000,2.4534
10250,2.4489
10500,2.4711
10750,2.4674
11000,2.4536
11250,2.4813
11500,2.4975
11750,2.5199
12000,2.5222
12250,2.5312
12500,2.5541
12750,2.5340
13000,2.5458
13250,2.5446
13500,2.5183
13750,2.5290
14000,2.5221
14250,2.5148
14500,2.4961
14750,2.5384
15000,2.5645
15250,2.5722
15500,2.6059
15750,2.5906
16000,2.6098
16250,2.5998
16500,2.5956
16750,2.6064
17000,2.6004
