step,val_loss
99,10.1247
199,9.1366
299,8.0888
399,7.8575
499,7.7279
599,7.5353
699,7.4971
799,7.3868
899,7.3385
999,7.3164
1099,7.2663
1199,7.2840
1299,7.2826
1399,7.2960
1499,7.3057
1599,7.3186
1699,7.3376
1799,7.3319
1851,7.3413
