step,val_loss
499,1.0951
999,1.0680
1499,1.0572
1999,1.0554
2499,1.0562
2999,1.0552
3499,1.0578
3999,1.0550
4499,1.0578
4999,1.0537
5499,1.0526
5999,1.0473
6499,1.0483
6999,1.0467
7499,1.0450
7999,1.0381
8499,1.0396
8999,1.0342
9499,1.0324
9999,1.0288
10499,1.0272
10999,1.0241
11499,1.0228
11999,1.0211
12499,1.0191
12999,1.0188
13499,1.0171
13999,1.0151
14499,1.0152
14732,1.0147
